Epoch,Training Loss,Validation Loss
1,0.4552878471337832,0.36221614034766825
2,0.3367034151039232,0.33055473139347175
3,0.3040739777638362,0.3056391018761529
4,0.28341510904548517,0.2899338902122954
5,0.2679455633571005,0.2791702463708372
6,0.25605756275592706,0.2770309979854486
7,0.24460048343259044,0.2741306847282964
8,0.23560640440598513,0.26583834963170894
9,0.22471048622552486,0.26109935911292703
10,0.2165799442550056,0.25805136775664794
11,0.20774062392161444,0.25816175171147043
12,0.1992603874377036,0.25499054561619067
13,0.19129862440141857,0.2546340172953076
14,0.18339709111013983,0.25011819505793415
15,0.17610888123763593,0.25062861174803513
16,0.16932452651843047,0.24993895800500854
17,0.1627287467265061,0.25024397872553933
18,0.1562411511766265,0.24814639139786746
19,0.15051659421513222,0.25099059264985923
20,0.1447505316401479,0.25062836568477825
21,0.13952576871638284,0.25239951367561636
22,0.13447883481700876,0.2527248864377666
23,0.12968605573788666,0.25232177318365145
24,0.1254588399703007,0.2524086819265643
25,0.12126709201933651,0.2538751789952955
26,0.11729570842237554,0.25790998407306837
27,0.1138053292243569,0.2600028987868219
28,0.11029762570334975,0.2569803444636174
29,0.10714248331724069,0.25878104775481753
30,0.10413824185503175,0.26068477969495657
31,0.10138085107582587,0.2610225348065042
32,0.09880920409368314,0.26179456697977505
33,0.09637017723253989,0.2605736058074185
34,0.09409308955044489,0.2628017839723163
35,0.09196359301825874,0.2641747397428904
36,0.09000685554664699,0.26743690057289904
37,0.08814447071582843,0.2682361229301518
38,0.086448386428329,0.2673739900558423
39,0.08485501032503921,0.2682553912472521
40,0.08333349108434471,0.2691410651094893
41,0.08196307791896015,0.26981875761553775
42,0.08064500374359283,0.27047078717875683
43,0.07945753255437242,0.2718932385169543
44,0.07829182929710785,0.2719810738899769
45,0.07725240734941259,0.2727980367678862
46,0.0762766954121087,0.2733943592340518
47,0.07535243323725513,0.2735167285295633
48,0.07448667896164109,0.27372287257206745
49,0.07367726997289901,0.2741882978484162
50,0.07288561768861238,0.27644103376478213
