=== 2026-07-05T09:20:45.801978+00:00 ===
C:\ProgramData\anaconda3\envs\NO_2D_Metamaterials\python.exe D:\Research\NO-2D-Metamaterials\train_from_disk.py --amp none --hidden-channels 128 --learning-rate 2e-3 --weight-decay 0 --scheduler steplr --step-size 1 --gamma 0.9 --eigen-ch0-encoding uniform --batch-size 520 --num-workers 2 --prefetch-factor 3 --seed 0 --progress-mode plain --epochs 12 --loss nmae

2026-07-05 05:20:59,817 | INFO | NMAE epsilon=1.000000e-05
2026-07-05 05:20:59,818 | INFO | Loss logging: active=nmae; every epoch records train/val nmae, MAE, and MSE
D:\Research\NO-2D-Metamaterials\train_from_disk.py:1858: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp == "fp16"))
2026-07-05 05:21:00,349 | INFO | Run started | run_name=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 run_id=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 device=cuda train_samples=18720000 test_samples=3900000 val_index_source=indices_full epoch_range=1..12
2026-07-05 05:21:00,349 | INFO | Fault diagnostics | main_fault_log=D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705\main_process_fault.log
E1/12 B9500/36000 batch_loss=2.7195e-01
E1/12 B9600/36000 batch_loss=4.2909e-01
E1/12 B9700/36000 batch_loss=3.3499e-01
E1/12 B9800/36000 batch_loss=3.8851e-01
E1/12 B9900/36000 batch_loss=3.7727e-01
E1/12 B10000/36000 batch_loss=4.0486e-01
E1/12 B10100/36000 batch_loss=3.1679e-01
E1/12 B10200/36000 batch_loss=3.9784e-01
E1/12 B10300/36000 batch_loss=3.8357e-01
E1/12 B10400/36000 batch_loss=3.5451e-01
E1/12 B10500/36000 batch_loss=3.7049e-01
E1/12 B10600/36000 batch_loss=3.0384e-01
E1/12 B10700/36000 batch_loss=4.0642e-01
E1/12 B10800/36000 batch_loss=4.0543e-01
E1/12 B10900/36000 batch_loss=4.1004e-01
E1/12 B11000/36000 batch_loss=3.1361e-01
E1/12 B11100/36000 batch_loss=2.8874e-01
E1/12 B11200/36000 batch_loss=2.8117e-01
E1/12 B11300/36000 batch_loss=3.0172e-01
E1/12 B11400/36000 batch_loss=3.7401e-01
E1/12 B11500/36000 batch_loss=2.9437e-01
E1/12 B11600/36000 batch_loss=2.7575e-01
E1/12 B11700/36000 batch_loss=2.9436e-01
E1/12 B11800/36000 batch_loss=3.7156e-01
E1/12 B11900/36000 batch_loss=3.9195e-01
E1/12 B12000/36000 batch_loss=3.4091e-01
E1/12 B12100/36000 batch_loss=2.8671e-01
E1/12 B12200/36000 batch_loss=2.8702e-01
E1/12 B12300/36000 batch_loss=3.6275e-01
E1/12 B12400/36000 batch_loss=3.8538e-01
E1/12 B12500/36000 batch_loss=3.6192e-01
E1/12 B12600/36000 batch_loss=3.6659e-01
E1/12 B12700/36000 batch_loss=3.0882e-01
E1/12 B12800/36000 batch_loss=2.5942e-01
E1/12 B12900/36000 batch_loss=3.5476e-01
E1/12 B13000/36000 batch_loss=3.1753e-01
E1/12 B13100/36000 batch_loss=3.6433e-01
E1/12 B13200/36000 batch_loss=3.1517e-01
E1/12 B13300/36000 batch_loss=3.6251e-01
E1/12 B13400/36000 batch_loss=2.8285e-01
E1/12 B13500/36000 batch_loss=2.9708e-01
E1/12 B13600/36000 batch_loss=3.6561e-01
E1/12 B13700/36000 batch_loss=3.7143e-01
E1/12 B13800/36000 batch_loss=3.5845e-01
E1/12 B13900/36000 batch_loss=3.8459e-01
E1/12 B14000/36000 batch_loss=2.8271e-01
E1/12 B14100/36000 batch_loss=2.9307e-01
E1/12 B14200/36000 batch_loss=3.0660e-01
E1/12 B14300/36000 batch_loss=2.8767e-01
E1/12 B14400/36000 batch_loss=2.6223e-01
E1/12 B14500/36000 batch_loss=3.3639e-01
E1/12 B14600/36000 batch_loss=3.5971e-01
E1/12 B14700/36000 batch_loss=2.9177e-01
E1/12 B14800/36000 batch_loss=2.9822e-01
E1/12 B14900/36000 batch_loss=2.8707e-01
E1/12 B15000/36000 batch_loss=2.9398e-01
E1/12 B15100/36000 batch_loss=2.7358e-01
E1/12 B15200/36000 batch_loss=3.4800e-01
E1/12 B15300/36000 batch_loss=2.7916e-01
E1/12 B15400/36000 batch_loss=3.7273e-01
E1/12 B15500/36000 batch_loss=3.7130e-01
E1/12 B15600/36000 batch_loss=3.7808e-01
E1/12 B15700/36000 batch_loss=3.4677e-01
E1/12 B15800/36000 batch_loss=3.5046e-01
E1/12 B15900/36000 batch_loss=3.5104e-01
E1/12 B16000/36000 batch_loss=2.9088e-01
E1/12 B16100/36000 batch_loss=2.7197e-01
E1/12 B16200/36000 batch_loss=3.5166e-01
E1/12 B16300/36000 batch_loss=2.5940e-01
E1/12 B16400/36000 batch_loss=3.6004e-01
E1/12 B16500/36000 batch_loss=3.3988e-01
E1/12 B16600/36000 batch_loss=3.6087e-01
E1/12 B16700/36000 batch_loss=3.6430e-01
E1/12 B16800/36000 batch_loss=3.4443e-01
E1/12 B16900/36000 batch_loss=2.6548e-01
E1/12 B17000/36000 batch_loss=3.4892e-01
E1/12 B17100/36000 batch_loss=2.9392e-01
E1/12 B17200/36000 batch_loss=3.3573e-01
E1/12 B17300/36000 batch_loss=3.6887e-01
E1/12 B17400/36000 batch_loss=3.3948e-01
E1/12 B17500/36000 batch_loss=3.5856e-01
E1/12 B17600/36000 batch_loss=2.9153e-01
E1/12 B17700/36000 batch_loss=2.5855e-01
E1/12 B17800/36000 batch_loss=3.6520e-01
E1/12 B17900/36000 batch_loss=2.7031e-01
E1/12 B18000/36000 batch_loss=2.7190e-01
E1/12 B18100/36000 batch_loss=2.6585e-01
E1/12 B18200/36000 batch_loss=3.7189e-01
E1/12 B18300/36000 batch_loss=3.5819e-01
E1/12 B18400/36000 batch_loss=2.4053e-01
E1/12 B18500/36000 batch_loss=2.7554e-01
E1/12 B18600/36000 batch_loss=3.6629e-01
E1/12 B18700/36000 batch_loss=2.4067e-01
E1/12 B18800/36000 batch_loss=3.4166e-01
E1/12 B18900/36000 batch_loss=2.5171e-01
E1/12 B19000/36000 batch_loss=3.4630e-01
E1/12 B19100/36000 batch_loss=2.4555e-01
E1/12 B19200/36000 batch_loss=2.6213e-01
E1/12 B19300/36000 batch_loss=2.7303e-01
E1/12 B19400/36000 batch_loss=3.4443e-01
E1/12 B19500/36000 batch_loss=3.3139e-01
E1/12 B19600/36000 batch_loss=2.6596e-01
E1/12 B19700/36000 batch_loss=3.6097e-01
E1/12 B19800/36000 batch_loss=2.5557e-01
E1/12 B19900/36000 batch_loss=3.5794e-01
E1/12 B20000/36000 batch_loss=3.5012e-01
E1/12 B20100/36000 batch_loss=3.5191e-01
E1/12 B20200/36000 batch_loss=2.7938e-01
E1/12 B20300/36000 batch_loss=3.3448e-01
E1/12 B20400/36000 batch_loss=3.4603e-01
E1/12 B20500/36000 batch_loss=3.3803e-01
E1/12 B20600/36000 batch_loss=3.2188e-01
E1/12 B20700/36000 batch_loss=3.3437e-01
E1/12 B20800/36000 batch_loss=2.6231e-01
E1/12 B20900/36000 batch_loss=3.3375e-01
E1/12 B21000/36000 batch_loss=2.5217e-01
E1/12 B21100/36000 batch_loss=3.4570e-01
E1/12 B21200/36000 batch_loss=3.9081e-01
E1/12 B21300/36000 batch_loss=3.5139e-01
E1/12 B21400/36000 batch_loss=2.8727e-01
E1/12 B21500/36000 batch_loss=3.3387e-01
E1/12 B21600/36000 batch_loss=2.8452e-01
E1/12 B21700/36000 batch_loss=2.4875e-01
E1/12 B21800/36000 batch_loss=3.6181e-01
E1/12 B21900/36000 batch_loss=3.5467e-01
E1/12 B22000/36000 batch_loss=3.1557e-01
E1/12 B22100/36000 batch_loss=2.4750e-01
E1/12 B22200/36000 batch_loss=3.5012e-01
E1/12 B22300/36000 batch_loss=3.6613e-01
E1/12 B22400/36000 batch_loss=3.3900e-01
E1/12 B22500/36000 batch_loss=2.5605e-01
E1/12 B22600/36000 batch_loss=3.6821e-01
E1/12 B22700/36000 batch_loss=3.2716e-01
E1/12 B22800/36000 batch_loss=3.2709e-01
E1/12 B22900/36000 batch_loss=2.8932e-01
E1/12 B23000/36000 batch_loss=3.0435e-01
E1/12 B23100/36000 batch_loss=3.3380e-01
E1/12 B23200/36000 batch_loss=1.9867e-01
E1/12 B23300/36000 batch_loss=2.5247e-01
E1/12 B23400/36000 batch_loss=2.6307e-01
E1/12 B23500/36000 batch_loss=2.4465e-01
E1/12 B23600/36000 batch_loss=2.4021e-01
E1/12 B23700/36000 batch_loss=2.5634e-01
E1/12 B23800/36000 batch_loss=2.4960e-01
