26/06/26 14:52:59.72 | === full-val metrics report === 
Full validation set (indices_full, ~3.9M samples per test shard pair).
Val MAE/MSE backfilled from epoch checkpoints.

### Table 1 — organized by MAE (L1)

| Ep | 260401 LR | 260401 train MAE | 260401 val MAE | 260619 LR | 260619 train MAE | 260619 val MAE | 260622 LR | 260622 train MAE | 260622 val MAE |
| 10 | 6.97e-04 | 1.641e-03 | 2.241e-04 | 6.97e-04 | 3.271e-05 | 5.476e-05 | 4.29e-04 | 4.452e-05 | 6.711e-05 |
| 11 | 1.80e-03 | 1.131e-04 | 1.998e-04 * | 6.28e-04 | 3.165e-05 | 5.106e-05 | 3.20e-03 | 7.109e-03 | 2.216e-04 |
| 12 | 1.62e-03 | 1.017e-04 | 2.084e-04 | 5.65e-04 | 3.081e-05 | 5.050e-05 * | 2.56e-03 | 2.279e-04 | 2.416e-04 |
| 13 | 1.46e-03 | 8.651e-05 | 2.102e-04 | 5.08e-04 | 3.012e-05 | 5.305e-05 | — | — | — |
| 14 | 1.31e-03 | 7.404e-05 | 2.109e-04 | 4.58e-04 | 2.951e-05 | 5.174e-05 | — | — | — |
| 15 | 1.18e-03 | 6.629e-05 | 2.211e-04 | 4.12e-04 | 2.897e-05 | 5.440e-05 | — | — | — |
| 16 | 1.06e-03 | 6.190e-05 | 2.225e-04 | 3.71e-04 | 2.849e-05 | 5.430e-05 | — | — | — |
| 17 | 9.57e-04 | 5.855e-05 | 2.259e-04 | — | — | — | — | — | — |
| 18 | 8.61e-04 | 5.619e-05 | 2.195e-04 | — | — | — | — | — | — |
| 19 | 7.75e-04 | 5.420e-05 | 2.194e-04 | — | — | — | — | — | — |
| 20 | 6.97e-04 | 5.247e-05 | 2.256e-04 | — | — | — | — | — | — |
| 21 | 6.28e-04 | 5.101e-05 | 2.237e-04 | — | — | — | — | — | — |
| 22 | 5.65e-04 | 4.975e-05 | 2.263e-04 | — | — | — | — | — | — |
| 23 | 5.08e-04 | 4.863e-05 | 2.261e-04 | — | — | — | — | — | — |
| 24 | 4.58e-04 | 4.765e-05 | 2.226e-04 | — | — | — | — | — | — |
| 25 | 4.12e-04 | 4.689e-05 | 2.279e-04 | — | — | — | — | — | — |
| 26 | 3.71e-04 | 4.592e-05 | 2.291e-04 | — | — | — | — | — | — |
| 27 | 3.34e-04 | 5.462e-05 | 2.268e-04 | — | — | — | — | — | — |
