=== 2026-07-07T08:09:36.191712+00:00 ===
C:\ProgramData\anaconda3\envs\NO_2D_Metamaterials\python.exe D:\Research\NO-2D-Metamaterials\train_from_disk.py --amp none --hidden-channels 128 --learning-rate 2e-3 --weight-decay 0 --scheduler steplr --step-size 1 --gamma 0.9 --eigen-ch0-encoding uniform --batch-size 520 --num-workers 2 --prefetch-factor 3 --seed 0 --progress-mode plain --resume-run-dir D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 --extend-epochs 8 --loss mae --reset-optimizer-scheduler

2026-07-07 04:09:50,067 | INFO | Loss logging: active=mae; every epoch records train/val mae, MAE, and MSE
D:\Research\NO-2D-Metamaterials\train_from_disk.py:1858: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(device.type == "cuda" and args.amp == "fp16"))
2026-07-07 04:09:50,912 | INFO | Resumed model weights from D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705\training_state_latest.pt at epoch=12; reset optimizer/scheduler to lr=2.000e-03 gamma=0.9 (not restoring saved optimizer state).
2026-07-07 04:09:50,915 | INFO | Run started | run_name=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 run_id=NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705 device=cuda train_samples=18720000 test_samples=3900000 val_index_source=indices_full epoch_range=13..20
2026-07-07 04:09:50,915 | INFO | Fault diagnostics | main_fault_log=D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_NMAE_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260705\main_process_fault.log
E13/20 B8600/36000 batch_loss=1.8989e-03
E13/20 B8700/36000 batch_loss=1.4846e-03
E13/20 B8800/36000 batch_loss=1.5554e-03
E13/20 B8900/36000 batch_loss=2.2587e-03
E13/20 B9000/36000 batch_loss=1.4685e-03
E13/20 B9100/36000 batch_loss=1.5960e-03
E13/20 B9200/36000 batch_loss=1.2654e-03
E13/20 B9300/36000 batch_loss=1.4555e-03
E13/20 B9400/36000 batch_loss=2.0654e-03
E13/20 B9500/36000 batch_loss=1.9539e-03
E13/20 B9600/36000 batch_loss=1.4749e-03
E13/20 B9700/36000 batch_loss=2.1670e-03
E13/20 B9800/36000 batch_loss=2.1622e-03
E13/20 B9900/36000 batch_loss=1.3643e-03
E13/20 B10000/36000 batch_loss=1.8466e-03
E13/20 B10100/36000 batch_loss=2.0735e-03
E13/20 B10200/36000 batch_loss=1.5876e-03
E13/20 B10300/36000 batch_loss=2.2654e-03
E13/20 B10400/36000 batch_loss=1.7162e-03
E13/20 B10500/36000 batch_loss=1.9533e-03
E13/20 B10600/36000 batch_loss=2.0198e-03
E13/20 B10700/36000 batch_loss=2.0221e-03
E13/20 B10800/36000 batch_loss=1.4412e-03
E13/20 B10900/36000 batch_loss=1.3757e-03
E13/20 B11000/36000 batch_loss=1.2984e-03
E13/20 B11100/36000 batch_loss=1.5674e-03
E13/20 B11200/36000 batch_loss=1.9909e-03
E13/20 B11300/36000 batch_loss=1.6157e-03
E13/20 B11400/36000 batch_loss=1.2989e-03
E13/20 B11500/36000 batch_loss=2.0049e-03
E13/20 B11600/36000 batch_loss=1.9663e-03
E13/20 B11700/36000 batch_loss=1.3802e-03
E13/20 B11800/36000 batch_loss=1.4567e-03
E13/20 B11900/36000 batch_loss=2.1071e-03
E13/20 B12000/36000 batch_loss=1.5488e-03
E13/20 B12100/36000 batch_loss=2.0475e-03
E13/20 B12200/36000 batch_loss=1.9201e-03
E13/20 B12300/36000 batch_loss=1.4716e-03
E13/20 B12400/36000 batch_loss=1.9900e-03
E13/20 B12500/36000 batch_loss=1.6718e-03
E13/20 B12600/36000 batch_loss=2.1055e-03
E13/20 B12700/36000 batch_loss=1.9664e-03
E13/20 B12800/36000 batch_loss=1.3541e-03
E13/20 B12900/36000 batch_loss=2.2032e-03
E13/20 B13000/36000 batch_loss=2.1855e-03
E13/20 B13100/36000 batch_loss=1.3399e-03
E13/20 B13200/36000 batch_loss=2.1033e-03
E13/20 B13300/36000 batch_loss=2.1399e-03
E13/20 B13400/36000 batch_loss=1.4508e-03
E13/20 B13500/36000 batch_loss=1.7642e-03
E13/20 B13600/36000 batch_loss=1.3209e-03
E13/20 B13700/36000 batch_loss=1.4518e-03
E13/20 B13800/36000 batch_loss=1.8819e-03
E13/20 B13900/36000 batch_loss=2.0808e-03
E13/20 B14000/36000 batch_loss=2.1399e-03
E13/20 B14100/36000 batch_loss=1.5758e-03
E13/20 B14200/36000 batch_loss=2.3736e-03
E13/20 B14300/36000 batch_loss=1.2859e-03
