epoch,train_loss,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0
1,0.0007506065564207852,0.0001336264928941091,0.0018000000000000002,12430.909294605255,39.72733807563782,1505.9236260475388,4180.495731485535,0.0001336264928941091
2,0.0001501783079171825,0.00013941699291293238,0.0016200000000000001,12659.61724615097,25.4570369720459,1478.717692329255,4220.678113875602,0.00013941699291293238
3,0.0001496808218951426,0.00013962889716034017,0.001458,12883.47320818901,25.231910705566406,1453.0243279507245,4202.874679861102,0.00013962889716034017
4,0.00014908190282504722,0.00013259358336169196,0.0013122000000000001,12459.333242416382,25.280789375305176,1502.4881055649023,4209.83940303489,0.00013259358336169196
5,0.00014866945528451146,0.00013712250665321335,0.00118098,12466.18441915512,25.286114931106567,1501.6623668133352,4203.432810595427,0.00013712250665321335
6,0.00014830358770511035,0.0001372939961611337,0.001062882,12889.352187156677,26.27355170249939,1452.3615871597603,4120.562420210682,0.0001372939961611337
7,0.00014789093439675425,0.00013125279280711767,0.0009565938,12336.883761405945,24.379762887954712,1517.4010197423322,3971.201415702578,0.00013125279280711767
8,0.00014736943484230223,0.00014389176235484532,0.00086093442,11657.53788280487,18.41665816307068,1605.8279362413584,4700.646220886514,0.00014389176235484532
9,0.00014706239628160095,0.00013281820177235204,0.000774840978,11515.118369340897,16.68470525741577,1625.6888899937117,4722.3153276828625,0.00013281820177235204
10,0.00014669511097488593,0.00013385852328337932,0.0006973568802,11125.330129861832,13.949557781219482,1682.646697355352,4719.542093741704,0.00013385852328337932
11,0.00014648631487933824,0.0001329939455836211,0.0006276211921800001,11127.239670038223,15.210676670074463,1682.3579391757357,4716.494987372427,0.0001329939455836211
12,0.0001462048509928435,0.00013805312875441207,0.0005648590729620001,11126.919359445572,15.770807981491089,1682.4063692084467,4720.863198206074,0.00013805312875441207
