epoch,train_loss,train_loss_ch0,train_loss_ch1,train_loss_ch2,train_loss_ch3,train_loss_ch4,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0,val_loss_ch1,val_loss_ch2,val_loss_ch3,val_loss_ch4
1,0.0035481849160116526,1.750854172375011e-05,9.634986363855407e-05,9.188071623056102e-05,0.00012269222185073481,0.0001104505477078419,0.002747161614320551,0.0018000000000000002,25052.583512544632,19.627765417099,747.2283244012058,4581.624355316734,2.7203486020681564e-06,6.903347448011724e-05,6.630153728231865e-05,9.68513167523876e-05,8.564449718687683e-05
2,0.002461584444652544,1.2339685654581384e-05,6.016010662288964e-05,5.78700153999105e-05,8.706597855891434e-05,7.690345305491064e-05,0.0026261037536896765,0.0016200000000000001,25224.592344284058,114.75373458862305,742.1329052416575,4632.687326100429,4.19933472418658e-06,6.152745589861296e-05,5.9208547839261883e-05,8.83920358743732e-05,7.827750507931341e-05
3,0.002232758327283793,1.2060941548812407e-05,5.2334636148013184e-05,5.0257281283645874e-05,7.827789741673364e-05,6.8781431949598e-05,0.002345774511806667,0.001458,25939.46579360962,66.98298263549805,721.6802438781068,4505.736317816505,2.220447496165197e-06,5.7426710563352876e-05,5.5914499241528875e-05,8.358735791504538e-05,7.389166728171403e-05
4,0.0020862568455502495,1.1706314559870813e-05,4.7554274251928695e-05,4.555463991199657e-05,7.269750919678902e-05,6.373277265568807e-05,0.0023529377466378113,0.0013122000000000001,12165.719659805298,18.376606702804565,1538.7499074016634,4300.074769390944,2.414227100539771e-06,5.593795004703376e-05,5.3729606541310206e-05,8.219553649178124e-05,7.263963828518171e-05
5,0.001979658292742291,1.0932999525468408e-05,4.411673918947498e-05,4.211246544067156e-05,6.86422155781151e-05,6.00324662721808e-05,0.0022187724395577486,0.00118098,12766.12217617035,15.535998821258545,1466.3810781118286,4342.631638895087,2.504454675735938e-06,5.443873324657034e-05,5.255793919180481e-05,8.062503497421858e-05,7.134103573844186e-05
6,0.0018883156285866992,6.222749346479706e-06,4.144520492246152e-05,3.93673633690115e-05,6.546372938318099e-05,5.7064154641668416e-05,0.002334103926628207,0.001062882,12276.315805912018,15.369080543518066,1524.8874577652066,4215.097703833696,3.475270992440945e-05,5.388522975651237e-05,5.172520147607429e-05,8.014233067175761e-05,7.060544330306584e-05
7,0.001810392306881517,5.468748922133177e-06,3.9233716602413756e-05,3.7098695805399175e-05,6.277811791207771e-05,5.458255406519028e-05,0.0022569090319254125,0.0009565938,12240.573996543884,18.667904376983643,1529.3400460865296,4270.223420780138,3.1597948636672866e-05,5.3203732325831275e-05,5.106652989525173e-05,7.909379376845512e-05,6.978692590079542e-05
8,0.0017470948084923697,5.449809782420169e-06,3.738341987930956e-05,3.5174407202122084e-05,6.0475132692166275e-05,5.243947625871846e-05,0.0021839267309599866,0.00086093442,12266.290257453918,39.761513233184814,1526.1337867514037,4312.335224613342,4.216901230928964e-05,5.262444440935117e-05,5.0356962360334973e-05,7.939246108314061e-05,6.942494987257912e-05
9,0.0016899587995075206,5.388172857137343e-06,3.577714139851196e-05,3.35363034216698e-05,5.8397796201057244e-05,5.0570825048251004e-05,0.0021525099772261454,0.000774840978,12242.282323598862,15.412664413452148,1529.1266371070656,4311.033369705486,3.810455912847743e-05,5.251685654487422e-05,5.031252138845351e-05,7.890321602280892e-05,6.922362875957334e-05
10,0.0016414183688725139,5.367186649155907e-06,3.43969204793666e-05,3.211998892839398e-05,5.653434403337896e-05,4.891862261375637e-05,0.0021268602876225486,0.0006973568802,12286.397332191467,56.365644216537476,1523.6362209247388,4308.935460802262,4.04631435421076e-05,5.21932669501742e-05,5.010189257063757e-05,7.876420241154847e-05,6.894708902291313e-05
