Epoch,Training Loss,Validation Loss
1,0.4552792222486262,0.3688349626696008
2,0.33921377666356556,0.32592381702732837
3,0.3099099063598872,0.31534031847807076
4,0.29280555822584364,0.298862865796456
5,0.283696785617486,0.297500362102802
6,7696.560885860747,1.025176576761099
7,1.006404718038771,1.0000353876871941
8,0.9999930282250429,0.9999554193244021
9,1.0000009794512366,1.0000147366849785
10,1.0000531323650284,1.0000531033165434
11,0.9999918354197445,0.9999433620322464
12,0.9999942074533881,0.9999577772923005
13,0.9999960581037733,0.9999766670944344
