timestamp_utc,epoch,model_path,num_test_samples,loss,avg_pixel_loss,avg_sample_loss
2026-04-14T17:54:02.352889+00:00,31,D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_L1&L2_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260401\NO_I3O5_BCF16_L1&L2_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260401_E31.pth,780000,mse,6.421333146591982e-05,6.421333217444137e-05
2026-04-14T17:58:35.270730+00:00,32,D:\Research\NO-2D-Metamaterials\MODELS\training_runs\NO_I3O5_BCF16_L1&L2_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260401\NO_I3O5_BCF16_L1&L2_HC128_LR2e-03_WD0e+00_SS1_G9e-01_ch0u_260401_E32.pth,780000,mse,6.358958804167998e-05,6.358958877957402e-05
