Epoch,Training Loss,Validation Loss
1,0.489318503616746,0.3918867134599604
2,0.3552231198605649,0.3446649957599803
3,0.31631867341085035,0.3184961063821092
4,0.29387247235754616,0.3023572802523262
5,0.27675281700218507,0.2938950555956262
6,0.262734881440323,0.2843368978948675
7,0.2510863441419737,0.2738304132600116
8,0.24047437611522837,0.26760618260375457
9,0.23023313401105397,0.2602644518277584
10,0.22066129151144598,0.2588063048429978
11,0.2118051334510162,0.25552544720254394
12,0.20311231975949387,0.25481687312655976
13,0.19435860430800336,0.24952966928889608
14,0.18635358005520963,0.2504196553668405
15,0.17873753357415864,0.2486648617045492
16,0.17106944694077528,0.24815731916875922
17,0.16389997683991053,0.24884000866127828
18,0.15740469728317696,0.2523690497141618
19,0.1507338978128216,0.24638965645101335
20,0.14466181247458498,0.24597906254397497
21,0.13862988312597627,0.24791190954762646
22,0.13339527213838365,0.25060658449393053
23,0.12797309063190748,0.25130690605110595
24,0.12316319758219596,0.2511645613032528
25,0.11857313489482614,0.2530470405164947
26,0.11437945529884762,0.2558261675834656
27,0.11028880820002651,0.25576016797061657
28,0.10659406633689533,0.2544533611872257
29,0.10304766795353333,0.2585759389624636
30,0.09978025417052783,0.2596688630448447
31,0.09678068794966423,0.2611816772202141
32,0.09386422013567383,0.26463892939559414
33,0.09117928321619659,0.26365545683436925
34,0.0886992920142633,0.265293479951019
35,0.08639212436679422,0.2685515368453458
36,0.08422838570426332,0.2675852784662165
37,0.08223528207115978,0.26974684835702945
38,0.08041275190641398,0.27064494594345745
39,0.0787257074319739,0.27199698378387677
40,0.07713577937081328,0.273584903421565
41,0.07565316387720597,0.2746305494226961
42,0.07430582047928433,0.2743797633749807
43,0.07304143316922364,0.27457199097494794
44,0.07184839885662764,0.2775618802196959
45,0.07074156842717418,0.27682044439438064
46,0.06968907031291231,0.2782517352532118
47,0.06870820209368682,0.2779722428281083
48,0.06781293818162717,0.2778171348857065
49,0.06697981435940137,0.2790864191707383
50,0.06618666661447949,0.279759671704382
