epoch,train_loss,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0,val_loss_ch1,val_loss_ch2,val_loss_ch3,val_loss_ch4
1,0.012572109935274864,0.013954625236879414,0.0018000000000000002,12341.105723381042,101.11246013641357,1516.8819082826362,4351.209831473344,0.06874211364099755,0.00028129917679567976,0.00023887037720366305,0.00027821358450940656,0.00023262953896968004
2,0.009956055300439604,0.012845919892153081,0.0016200000000000001,13579.3319272995,125.08046984672546,1378.5656098711195,3953.1699579892247,0.0632679328294471,0.0002431555472576292,0.00022704552320647055,0.0002588368644404303,0.00023262874069041574
3,0.008326474496325923,0.013121130447951145,0.001458,12323.926104784012,93.9673638343811,1518.9964497379697,4403.491846284743,0.06464077162649483,0.000244974854242173,0.00022761244621748725,0.00025875940505648033,0.00023353395100760585
4,0.007355618448674149,0.012797506436201122,0.0013122000000000001,12181.745018720627,90.9142689704895,1536.7256473708433,4407.437287125523,0.06302173291891813,0.0002444603285305978,0.00022714733357618872,0.0002597662209930907,0.00023442539232686007
5,0.006656796286670013,0.012905533191961392,0.00118098,12192.791955947876,90.0433738231659,1535.3333401926889,4134.557194311455,0.06356457760410072,0.00024328101622328783,0.00022701532205489152,0.00025900836152626045,0.00023378367834569265
6,0.006065702206019018,0.012918235862491807,0.001062882,13555.581996202469,151.3881332874298,1380.9809128995212,3156.8079984381257,0.06362796763788599,0.00024301248776707022,0.000226598947289555,0.0002598053262142154,0.00023379491795397675
7,0.005544593450662634,0.012708675062846548,0.0009565938,14651.995881557465,173.29211735725403,1277.6416367658792,3908.9533100150147,0.0625789259809535,0.00024299130543658975,0.00022648615393942842,0.0002592202045246571,0.00023575161051606603
8,0.005074442309328636,0.012863102181834013,0.00086093442,13713.743700742722,172.01210403442383,1365.0539494176303,3858.760312440921,0.06335880038444884,0.0002400461639626883,0.00022589962560596178,0.00025647601156379094,0.00023428864604890502
9,0.004664073389140362,0.012882659791638919,0.000774840978,13699.670019865036,170.2358911037445,1366.4562703229565,3879.3146148266064,0.06345611492303821,0.00023966393378699043,0.0002256288467494111,0.000256618661582858,0.00023527263471623882
10,0.004291936738011928,0.012434696158083777,0.0006973568802,13553.352223157883,171.7891948223114,1381.2081093867055,3879.495646101394,0.06121801450115163,0.00023921240285077754,0.00022625540066170894,0.00025679615669650955,0.00023320234083318306
11,0.003957065265833485,0.012582143542347088,0.0006276211921800001,13548.209554433823,169.3738112449646,1381.7323923716285,3880.6352065336746,0.061954226161702534,0.00023858512080914807,0.0002264985997171607,0.00025946922235016244,0.00023193867133522873
12,0.003659043636160378,0.012673163974958395,0.0005648590729620001,12846.198536872864,122.15252304077148,1457.2404393616814,4392.317004896112,0.062409935907577166,0.00023785767054747945,0.00022658002800259662,0.00025955310423159974,0.00023189326033752877
