epoch,train_loss,train_loss_ch0,train_loss_ch1,train_loss_ch2,train_loss_ch3,train_loss_ch4,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0,val_loss_ch1,val_loss_ch2,val_loss_ch3,val_loss_ch4,train_compare_loss,val_compare_loss,train_compare_loss_ch0,train_compare_loss_ch1,train_compare_loss_ch2,train_compare_loss_ch3,train_compare_loss_ch4,val_compare_loss_ch0,val_compare_loss_ch1,val_compare_loss_ch2,val_compare_loss_ch3,val_compare_loss_ch4,train_l1_loss,train_mse_loss,val_l1_loss,val_mse_loss,train_l1_loss_ch0,train_l1_loss_ch1,train_l1_loss_ch2,train_l1_loss_ch3,train_l1_loss_ch4,val_l1_loss_ch0,val_l1_loss_ch1,val_l1_loss_ch2,val_l1_loss_ch3,val_l1_loss_ch4,train_mse_loss_ch0,train_mse_loss_ch1,train_mse_loss_ch2,train_mse_loss_ch3,train_mse_loss_ch4,val_mse_loss_ch0,val_mse_loss_ch1,val_mse_loss_ch2,val_mse_loss_ch3,val_mse_loss_ch4
1,0.4243440723551644,0.01735096238553524,0.43759629130363464,0.487570196390152,0.6451221108436584,0.5340827703475952,0.37590923077364763,0.0018000000000000002,12281.5842897892,1265.5287606716156,1524.2333202536126,5183.8412157786215,0.04443586990237236,0.39891740679740906,0.43484100699424744,0.5037059783935547,0.4976460635662079,0.00012173281965240474,0.00012142678856568333,7.422571070492268e-05,0.0001178939564852044,0.00011626811465248466,0.00017086170555558056,0.00012941569730173796,0.00014090610784478486,0.00010759314318420365,0.00010365111666033044,0.00013448331446852535,0.00012049972428940237,0.005484382963357752,0.00012173281965240474,0.006294042906630784,0.00012142678856568333,0.004994973074644804,0.005415064748376608,0.005242864601314068,0.006069859489798546,0.005699112545698881,7.422571070492268e-05,0.0001178939564852044,0.00011626811465248466,0.00017086170555558056,0.00012941569730173796,0.00882937666028738,0.005514501594007015,0.005292062647640705,0.0060904910787940025,0.005743753165006638,0.00014090610784478486,0.00010759314318420365,0.00010365111666033044,0.00013448331446852535,0.00012049972428940237
2,0.26576679789399105,0.009730873629450798,0.27488672733306885,0.29789790511131287,0.3768247663974762,0.3694956600666046,0.2441720131079356,0.0016200000000000001,12134.434085845947,1528.363838672638,1542.7171854545488,5204.351162486432,0.0058181690983474255,0.24973329901695251,0.2705674171447754,0.3502994179725647,0.34444183111190796,7.544040344045141e-05,6.55264148395266e-05,4.2343188397353515e-05,7.395627471851185e-05,7.106301200110465e-05,0.00010019011824624613,8.964888547779992e-05,1.8872831788030453e-05,6.737430521752685e-05,6.453696551034227e-05,9.35883290367201e-05,8.32596851978451e-05,0.004202150047873146,7.544040344045141e-05,0.0036936178906510275,6.55264148395266e-05,0.003871298162266612,0.0041107856668531895,0.003949529491364956,0.004673306364566088,0.004405901301652193,4.2343188397353515e-05,7.395627471851185e-05,7.106301200110465e-05,0.00010019011824624613,8.964888547779992e-05,0.0031771378125995398,0.0036519616842269897,0.0034808977507054806,0.004205507226288319,0.003952589817345142,1.8872831788030453e-05,6.737430521752685e-05,6.453696551034227e-05,9.35883290367201e-05,8.32596851978451e-05
3,0.2082626372675101,0.0037879999727010727,0.2089201658964157,0.22393588721752167,0.30711454153060913,0.29755404591560364,0.2336365970308582,0.001458,12197.616713523865,1591.4650633335114,1534.7260403128237,5205.963963906867,0.005724732764065266,0.23692257702350616,0.25591418147087097,0.33551520109176636,0.3341059684753418,5.603603756935627e-05,6.262598570665432e-05,1.6691459677531384e-05,5.618625073111616e-05,5.3442709031514823e-05,8.164821338141337e-05,7.221148553071544e-05,1.781380888132844e-05,6.389088957803324e-05,6.103793566580862e-05,8.963105938164517e-05,8.075611549429595e-05,0.003306984268491053,5.603603756935627e-05,0.003286707268220683,6.262598570665432e-05,0.002262693829834461,0.00337390648201108,0.0032242080196738243,0.00395859545096755,0.003715521888807416,1.6691459677531384e-05,5.618625073111616e-05,5.3442709031514823e-05,8.164821338141337e-05,7.221148553071544e-05,0.0016885593067854643,0.0034442332107573748,0.0033036989625543356,0.004073137883096933,0.0039239064790308475,1.781380888132844e-05,6.389088957803324e-05,6.103793566580862e-05,8.963105938164517e-05,8.075611549429595e-05
4,0.18538016345186367,0.0029883275274187326,0.18338336050510406,0.19504529237747192,0.278270959854126,0.2672121524810791,0.22946057032893102,0.0013122000000000001,12418.568249702454,516.5745539665222,1507.4201488926494,4576.239654506107,0.00398044940084219,0.23508359491825104,0.2506600022315979,0.3310217261314392,0.32655611634254456,4.949850000927351e-05,6.0756602893585904e-05,1.2801198863598984e-05,4.931675721309148e-05,4.654534495784901e-05,7.398084562737495e-05,6.484752520918846e-05,1.3225919246906415e-05,6.34026582702063e-05,5.979125126032159e-05,8.84227265487425e-05,7.893988367868587e-05,0.0030438808816640327,4.949850000927351e-05,0.0032880198009622593,6.0756602893585904e-05,0.001963213784620166,0.003119317116215825,0.002974654082208872,0.0037027685903012753,0.0034594815224409103,1.2801198863598984e-05,4.931675721309148e-05,4.654534495784901e-05,7.398084562737495e-05,6.484752520918846e-05,0.001958107575774193,0.0035257330164313316,0.003257257863879204,0.0039733173325657845,0.003725695889443159,1.3225919246906415e-05,6.34026582702063e-05,5.979125126032159e-05,8.84227265487425e-05,7.893988367868587e-05
5,0.17033981209144824,0.002646773587912321,0.16673147678375244,0.1759975701570511,0.2591136395931244,0.2472093552350998,0.2241731412132581,0.00118098,12526.256714582443,1322.69788646698,1494.4608294836485,4994.754425371645,0.0067021227441728115,0.2247399389743805,0.24329128861427307,0.32739701867103577,0.31873515248298645,4.539385446433799e-05,6.182608762040521e-05,1.1241731954214629e-05,4.483856537262909e-05,4.199792238068767e-05,6.889714859426022e-05,5.99936320213601e-05,2.6010115107055753e-05,6.0599784774240106e-05,5.8040557632921264e-05,8.744533261051401e-05,7.70344995544292e-05,0.002880110855143155,4.539385446433799e-05,0.0036385701421493043,6.182608762040521e-05,0.001827735803090036,0.0029484275728464127,0.0028052341658622026,0.003530499991029501,0.0032886548433452845,1.1241731954214629e-05,4.483856537262909e-05,4.199792238068767e-05,6.889714859426022e-05,5.99936320213601e-05,0.0043899123556911945,0.003197183134034276,0.0030900666024535894,0.003956658765673637,0.0035590301267802715,2.6010115107055753e-05,6.0599784774240106e-05,5.8040557632921264e-05,8.744533261051401e-05,7.70344995544292e-05
6,0.15943552531384758,0.0024524619802832603,0.1547662317752838,0.16219554841518402,0.24516701698303223,0.2325957864522934,0.2196959708377719,0.001062882,12515.364713668823,1512.443321943283,1495.761444295323,4994.523217338609,0.004152694251388311,0.22335873544216156,0.23860621452331543,0.31866317987442017,0.3136991858482361,4.2459899090115666e-05,5.8375301213224396e-05,1.0337877938582096e-05,4.162100958637893e-05,3.8703605241607875e-05,6.51922237011604e-05,5.6444907386321574e-05,1.3832332115271129e-05,6.0219026636332273e-05,5.690964826499112e-05,8.512936619808897e-05,7.578631630167365e-05,0.002761820541012437,4.2459899090115666e-05,0.003197109005196641,5.8375301213224396e-05,0.0017319349572062492,0.0028275838121771812,0.0026844588574022055,0.0034022927284240723,0.0031628247816115618,1.0337877938582096e-05,4.162100958637893e-05,3.8703605241607875e-05,6.51922237011604e-05,5.6444907386321574e-05,0.002483257558196783,0.0032157250680029392,0.0030207899399101734,0.003728791605681181,0.0035369840916246176,1.3832332115271129e-05,6.0219026636332273e-05,5.690964826499112e-05,8.512936619808897e-05,7.578631630167365e-05
7,0.1505872533927775,0.002368732588365674,0.14513815939426422,0.1510099470615387,0.23364490270614624,0.22077447175979614,0.21917611933077374,0.0009565938,12559.587318897247,1555.646124124527,1490.4948327270076,4995.714428325203,0.007229743991047144,0.22102102637290955,0.23750236630439758,0.31759339570999146,0.3125336766242981,4.0130418783671e-05,5.972154584469536e-05,9.880999641609378e-06,3.902941170963459e-05,3.60354024451226e-05,6.213048618519679e-05,5.357536792871542e-05,2.2012485715094954e-05,5.960066118859686e-05,5.664516720571555e-05,8.484152203891426e-05,7.550769805675372e-05,0.0026653785456890343,4.0130418783671e-05,0.002994497989482867,5.972154584469536e-05,0.001652953214943409,0.002730195177718997,0.00258538406342268,0.0032982630655169487,0.0030600989703089,9.880999641609378e-06,3.902941170963459e-05,3.60354024451226e-05,6.213048618519679e-05,5.357536792871542e-05,0.0015470487996935844,0.0031506975647062063,0.0030506968032568693,0.0037422473542392254,0.003481794847175479,2.2012485715094954e-05,5.960066118859686e-05,5.664516720571555e-05,8.484152203891426e-05,7.550769805675372e-05
8,0.1426523091764086,0.00209004245698452,0.13659988343715668,0.14130793511867523,0.2232533097267151,0.2100101262331009,0.21868227831249434,0.00086093442,12531.979750394821,1528.2324306964874,1493.7783473046406,4995.256456587806,0.009239890612661839,0.219618022441864,0.23792880773544312,0.3153975307941437,0.3112272024154663,3.790583648990125e-05,6.075994990139104e-05,8.74806664796779e-06,3.673339233500883e-05,3.371895945747383e-05,5.936639354331419e-05,5.096207314636558e-05,2.8396478228387423e-05,5.9207533922744915e-05,5.675515058101155e-05,8.424579573329538e-05,7.519456994486973e-05,0.0025674138736180288,3.790583648990125e-05,0.0031464307531093557,6.075994990139104e-05,0.0015458202688023448,0.002637549303472042,0.0024929754436016083,0.0031989077106118202,0.002961796475574374,8.74806664796779e-06,3.673339233500883e-05,3.371895945747383e-05,5.936639354331419e-05,5.096207314636558e-05,0.0024607584346085787,0.003082901006564498,0.0031147897243499756,0.003645641263574362,0.0034280491527169943,2.8396478228387423e-05,5.9207533922744915e-05,5.675515058101155e-05,8.424579573329538e-05,7.519456994486973e-05
