epoch,train_loss,train_loss_ch0,train_loss_ch1,train_loss_ch2,train_loss_ch3,train_loss_ch4,val_loss,lr,epoch_time_sec,data_time_sec,train_samples_per_sec,val_samples_per_sec,val_loss_ch0,val_loss_ch1,val_loss_ch2,val_loss_ch3,val_loss_ch4
1,0.003541086437384365,0.001190134428236181,0.003921241476899013,0.003784289846552484,0.004511181886236753,0.004298584549532582,0.0027147253623697907,0.0018000000000000002,13936.77137875557,17.107004642486572,1343.2092334194213,4277.878476699217,0.0006580646403017454,0.0029677741113118827,0.0029552645415533334,0.003564564850414172,0.003427958665881306
2,0.0024651052842641044,0.0007414488258828997,0.0026750288640258885,0.0025681888729708995,0.0032695250232678114,0.003071334838928629,0.0025301985427116356,0.0016200000000000001,12236.90370297432,13.985390901565552,1529.798750925031,4325.446811515434,0.0008462278199537346,0.0026984402456631264,0.00261730624587896,0.003296629624363656,0.003192388786546265
3,0.002226092466075594,0.0006572113879552085,0.002398850345812712,0.0022963873630926375,0.0029868812017343266,0.0027911320386984797,0.002336396903498098,0.001458,12236.556914329529,13.919615268707275,1529.8421059994484,4324.415585760753,0.0006373215960144686,0.0025235699842063087,0.002430898694166293,0.003163736683083698,0.002926457530663659
4,0.002076324803728817,0.000599510916706802,0.0022304527172721765,0.002128210456097602,0.002808142601906891,0.0026153073340214584,0.0022931205395143477,0.0013122000000000001,12237.297669887543,14.000226259231567,1529.749500665046,4324.39660265314,0.0006202346475135225,0.002491958665739124,0.0023888353451232735,0.0030765539039857687,0.0028880201139642545
